donor,clone,day,Apical_OD.Mean,Apical_OD.SD,Basal_OD.Mean,Basal_OD.SD,Apical_Corr.Mean,Apical_Corr.SD,Basal_Corr.Mean,Basal_Corr.SD,Apical_pg.ml.Mean,Apical_pg.ml.SD,Basal_pg.ml.Mean,Basal_pg.ml.SD,ratio.Mean,ratio.SD
AMD1,1A,D75,1.60613333,0.17489408,0.247033333,0.030759497,1.59668333,0.17489408,0.237583333,0.030759497,391.840822,43.331867,440.87478,60.96794,1.12421704,0.08065822
AMD1,1B,D73,1.5378,0.05436698,0.25125,0.027698718,1.5279,0.05436698,0.24135,0.027698718,374.79902,13.469996,448.34064,54.90122,1.19839965,0.15954436
AMD1,1B,D75,1.58703333,0.15072993,0.173966667,0.02984176,1.57718333,0.15072993,0.164116667,0.02984176,387.009489,37.344942,295.2576,59.14891,0.77620246,0.20914574
AMD1,1B,D77,1.38218333,0.10158983,0.298016667,0.029722881,1.37188333,0.10158983,0.287716667,0.029722881,336.144232,25.169961,540.24332,58.91328,1.62493696,0.28917583
AMD2,2A,D75,0.81191667,0.07113754,0.271883333,0.024317847,0.79456667,0.07113754,0.254533333,0.024317847,193.935334,17.260111,503.2558,47.20194,2.60428108,0.26376461
AMD2,2B,D73,1.028,0.13255043,0.149016667,0.027162652,1.0196,0.13255043,0.140616667,0.027162652,275.462878,36.535258,265.48929,59.89536,0.95480915,0.09733286
AMD2,2B,D75,0.96508333,0.10601759,0.16475,0.020842817,0.95598333,0.10601759,0.15565,0.020842817,257.928032,29.221935,298.63874,45.95973,1.18282701,0.29748065
AMD2,2B,D77,1.06315,0.05457006,0.175783333,0.022554948,1.05485,0.05457006,0.167483333,0.022554948,285.178938,15.041302,324.73199,49.73508,1.1339918,0.12358956
AMD2,2C,D75,0.7141,0.12030899,0.183966667,0.039539887,0.70395,0.12030899,0.173816667,0.039539887,188.459356,33.161113,338.69739,87.18795,1.89336908,0.75930883
AMD3,3A,D75,0.91261667,0.11595919,0.114516667,0.020161093,0.90261667,0.11595919,0.104516667,0.020161093,243.218424,31.962167,185.88651,44.45648,0.77499817,0.20677309
AMD3,3B,D73,0.68688333,0.11900749,0.177583333,0.017200514,0.67513333,0.11900749,0.165833333,0.017200514,164.957209,28.874802,331.08545,33.3869,2.05023835,0.34998621
AMD3,3B,D75,0.67618333,0.02797866,0.19755,0.051565754,0.66333333,0.02797866,0.1847,0.051565754,162.094173,6.788467,367.70643,100.09125,2.25706754,0.55415716
AMD3,3B,D77,0.772125,0.02500832,0.22005,0.010276348,0.762875,0.02500832,0.2108,0.010276348,186.245981,6.067771,418.3676,19.94681,2.24660402,0.08904875
AMD3,3C,D75,0.65266667,0.02955758,0.251066667,0.023044884,0.64086667,0.02955758,0.239266667,0.023044884,156.643083,7.17156,473.62257,44.73107,3.03786321,0.41606091
